% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              EV_Stat_D - EV_Stat_D (lambda, abs(lambda))
% Eigenwert (rad/s)      Eigenwert                abs(lambda)
-9.934588265795593       -9.934588265795593       9.934588265795593
0.28223109594020324      -8.885765876316663       8.885765876316663
-8.885765876316663       -7.024814731039814       7.024814731039814
1.2616296896084123E-13   -7.024814731040744       7.024814731040744
-7.024814731039814       -4.442882938157019       4.442882938157019
-9.020562075079397E-16   4.442882938157019        4.442882938157019
-7.024814731040744       7.024814731039814        7.024814731039814
3.266692472081445E-13    7.024814731040744        7.024814731040744
-4.442882938157019       8.885765876316663        8.885765876316663
0.8105694691386623       9.934588265795593        9.934588265795593
4.442882938157019        -12.953118343414715      12.953118343414715
0.8105694691386623       -12.953118343414973      12.953118343414973
7.024814731039814        -11.32717339913864       11.32717339913864
-9.020562075079397E-16   -11.32717339913958       11.32717339913958
7.024814731040744        -9.934588265796144       9.934588265796144
3.266692472081445E-13    9.934588265796144        9.934588265796144
8.885765876316663        11.32717339913864        11.32717339913864
1.2616296896084123E-13   11.32717339913958        11.32717339913958
9.934588265795593        12.953118343414715       12.953118343414715
0.28223109594020324      12.953118343414973       12.953118343414973
