% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_EV_N - Lin_EV_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
88.58667904100822                                 -0.0032654172472212145+1.2294828793136002E-4i     -5.081429706681717E-7+3.1415926028823202i         3.1415926028823615
88.58667904100822                                 -2.39469520675438E-5+6.283186184699167i           8.04638317992934E-15-3.6556461234347307E-6i       3.6556461234347307E-6
88.58667904100822                                 -0.0032654172472212145-1.2294828793136002E-4i     8.04638317992934E-15+3.6556461234347307E-6i       3.6556461234347307E-6
88.58667904100822                                 -5.081429706681717E-7-3.1415926028823202i         1.8461086214878066E-5-4.442883158309204i          4.442883158347559
88.58667904100822                                 -4.505300807243289E-5+2.065674594651355E-8i       1.8461086214878066E-5+4.442883158309204i          4.442883158347559
183.29807108324357                                -1.3308707375599933E-5-4.442881874644557i         -1.3308707375599933E-5-4.442881874644557i         4.44288187466449
183.29807108324357                                -1.0501057304313946E-4-1.629750254686072E-7i      -1.3308707375599933E-5+4.442881874644557i         4.44288187466449
183.29807108324357                                -1.3308707375599933E-5+4.442881874644557i         -2.2241913084746733E-15-3.441451510463963E-6i     3.441451510463963E-6
183.29807108324357                                -1.0501057304313946E-4+1.629750254686072E-7i      -2.2241913084746733E-15+3.441451510463963E-6i     3.441451510463963E-6
183.29807108324357                                -2.2241913084746733E-15-3.441451510463963E-6i     2.834612647689266E-6-3.141592990919857i           3.141592990921136
183.29807108324357                                -1.0000000000001552                               2.834612647689266E-6+3.141592990919857i           3.141592990921136
183.29807108324357                                -2.2241913084746733E-15+3.441451510463963E-6i     2.5931311111302542E-5-3.1415928648060927i         3.1415928649131137
183.29807108324357                                -1.0000000000001552                               2.5931311111302542E-5+3.1415928648060927i         3.1415928649131137
183.29807108324357                                2.834612647689266E-6-3.141592990919857i           6.422424458134331E-5-6.28309748132234i            6.283097481650582
183.29807108324357                                -1.637091849565173E-4+4.115432105366597E-8i       6.422424458134331E-5+6.28309748132234i            6.283097481650582
379.26901907322497                                -3.335955723937699E-5-6.283125217716037i          -3.335955723937699E-5-6.283125217716037i          6.283125217804597
379.26901907322497                                1.5587982031613693E-5+0.0016469779679478519i      -3.335955723937699E-5+6.283125217716037i          6.283125217804597
379.26901907322497                                -3.335955723937699E-5+6.283125217716037i          -4.4619083018002606E-6-3.1415794711963816i        3.14157947119955
379.26901907322497                                1.5587982031613693E-5-0.0016469779679478519i      -4.4619083018002606E-6+3.1415794711963816i        3.14157947119955
379.26901907322497                                -4.4619083018002606E-6-3.1415794711963816i        -4.481846826358696E-6-3.1416058762041166i         3.1416058762073136
379.26901907322497                                -9.635361901549811E-4+8.785541018322833E-8i       -4.481846826358696E-6+3.1416058762041166i         3.1416058762073136
379.26901907322497                                -4.4619083018002606E-6+3.1415794711963816i        -4.317595082507057E-15-3.3374901659884722E-6i     3.3374901659884722E-6
379.26901907322497                                -9.635361901549811E-4-8.785541018322833E-8i       -4.317595082507057E-15+3.3374901659884722E-6i     3.3374901659884722E-6
379.26901907322497                                -4.481846826358696E-6-3.1416058762041166i         3.9409964662267765E-5-4.442883015405561i          4.442883015580351
379.26901907322497                                -9.605959066354863E-4+8.800157248586745E-8i       3.9409964662267765E-5+4.442883015405561i          4.442883015580351
784.7599703514607                                 -2.1676364963393257E-6-3.141578297431941i         -2.1676364963393257E-6-3.141578297431941i         3.1415782974326887
784.7599703514607                                 -2.1822267465633976E-4-1.487295630256843E-8i      -2.1676364963393257E-6+3.141578297431941i         3.1415782974326887
784.7599703514607                                 -2.1676364963393257E-6+3.141578297431941i         -2.2400113184122924E-6-3.14160710614388i          3.1416071061446784
784.7599703514607                                 -2.1822267465633976E-4+1.487295630256843E-8i      -2.2400113184122924E-6+3.14160710614388i          3.1416071061446784
784.7599703514607                                 -2.2400113184122924E-6-3.14160710614388i          1.6275293156087108E-14-1.7171181366196562E-6i     1.7171181366196562E-6
784.7599703514607                                 -2.1971938412461504E-4-1.6058378499188007E-8i     1.6275293156087108E-14+1.7171181366196562E-6i     1.7171181366196562E-6
784.7599703514607                                 -2.2400113184122924E-6+3.14160710614388i          2.0485686854190267E-6-4.442882958123349i          4.442882958123821
784.7599703514607                                 -2.1971938412461504E-4+1.6058378499188007E-8i     2.0485686854190267E-6+4.442882958123349i          4.442882958123821
784.7599703514607                                 1.6275293156087108E-14-1.7171181366196562E-6i     4.544744820970827E-5-6.283174987797936i           6.283174987962301
784.7599703514607                                 -1.0000000000001552+1.5611151129407895E-15i       4.544744820970827E-5+6.283174987797936i           6.283174987962301
1623.776739188721                                 -1.5801559568233793E-5-3.1415926671133243i        -1.5801559568233793E-5-3.1415926671133243i        3.1415926671530636
1623.776739188721                                 -5.795990418412076E-5+2.0375190056434572E-8i      -1.5801559568233793E-5+3.1415926671133243i        3.1415926671530636
1623.776739188721                                 -1.5801559568233793E-5+3.1415926671133243i        5.17416980348525E-17-3.434243509695046E-6i        3.434243509695046E-6
1623.776739188721                                 -5.795990418412076E-5-2.0375190056434572E-8i      5.17416980348525E-17+3.434243509695046E-6i        3.434243509695046E-6
1623.776739188721                                 5.17416980348525E-17-3.434243509695046E-6i        1.187253261919166E-7-4.442883232091971i           4.4428832320919724
1623.776739188721                                 -1.0000000000001552-1.2868616099839634E-16i       1.187253261919166E-7+4.442883232091971i           4.4428832320919724
1623.776739188721                                 5.17416980348525E-17+3.434243509695046E-6i        9.275140208538364E-6-6.283185623791323i           6.283185623798169
1623.776739188721                                 -1.0000000000001552+1.2868616099839634E-16i       9.275140208538364E-6+6.283185623791323i           6.283185623798169
1623.776739188721                                 1.187253261919166E-7-4.442883232091971i           2.1814702374318464E-5-3.1415926488265993i         3.1415926489023382
1623.776739188721                                 -8.388706658682536E-5+3.0142436161487685E-8i      2.1814702374318464E-5+3.1415926488265993i         3.1415926489023382
3359.818286283781                                 -1.3750993315154932E-5-4.442882964904465i         -1.3750993315154932E-5-4.442882964904465i         4.442882964925745
3359.818286283781                                 -7.870096735939216E-4-1.36083956374556E-7i        -1.3750993315154932E-5+4.442882964904465i         4.442882964925745
3359.818286283781                                 -1.3750993315154932E-5+4.442882964904465i         1.123717122180286E-15-3.339215292339894E-6i       3.339215292339894E-6
