% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_EV_D - Full_EV_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)
183.29807108324357                                -2.4594338708107547E-12-7.0248153184045234i
183.29807108324357                                -4.3518483791275024E-7-1.9152157977220375E-15i
183.29807108324357                                -2.4594338708107547E-12+7.0248153184045234i
183.29807108324357                                -4.3518483791275024E-7+1.9152157977220375E-15i
183.29807108324357                                2.8564632409025405E-13-8.885765876315046i
183.29807108324357                                -3.808325478805323E-12+2.6267523472923043E-18i
183.29807108324357                                2.8564632409025405E-13+8.885765876315046i
183.29807108324357                                -3.808325478805323E-12-2.6267523472923043E-18i
183.29807108324357                                -1.3036608355780725E-12-9.934588265788081i
183.29807108324357                                -0.3619442860996268+1.264404762792449E-16i
183.29807108324357                                -1.3036608355780725E-12+9.934588265788081i
183.29807108324357                                -0.3619442860996268-1.264404762792449E-16i
379.26901907322497                                1.8416308107157434E-13-4.442882938159043i
379.26901907322497                                -0.8105694691384409
379.26901907322497                                1.8416308107157434E-13+4.442882938159043i
379.26901907322497                                -0.8105694691384409
379.26901907322497                                3.676285736094888E-12-7.024813515686788i
379.26901907322497                                -9.004532512665943E-7+2.7509612699480107E-15i
379.26901907322497                                3.676285736094888E-12+7.024813515686788i
379.26901907322497                                -9.004532512665943E-7-2.7509612699480107E-15i
379.26901907322497                                -3.5691063578766814E-12-7.024815946396118i
379.26901907322497                                -9.004559394159991E-7+2.1811935333142015E-16i
379.26901907322497                                -3.5691063578766814E-12+7.024815946396118i
379.26901907322497                                -9.004559394159991E-7-2.1811935333142015E-16i
379.26901907322497                                5.832720148784088E-14-8.885765876308367i
379.26901907322497                                -3.258615579797754E-12+1.2260051968883142E-17i
379.26901907322497                                5.832720148784088E-14+8.885765876308367i
379.26901907322497                                -3.258615579797754E-12-1.2260051968883142E-17i
379.26901907322497                                -1.0604377766934017E-11-9.934588265801144i
379.26901907322497                                -0.36194428566484355-4.1747056577202657E-16i
