% Model:              ID1_1_P5_N_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 19:15
% Table:              EV_Stat_Vac - EV_Stat_Vac (lambda, abs(lambda))
% n                                               lambda
1                                                 -1.3639637130528968
1                                                 6.199950763896567E-8
1                                                 -1.0285009620751382
1                                                 4.242123211178894E-7
1                                                 -0.8995377748856186
1                                                 2.0828944607975686E-7
1                                                 -0.4595111393230587
1                                                 2.290943883487273E-7
1                                                 -2.890930776629601E-4
1                                                 3.741657386773893
1                                                 2.890930776629601E-4
1                                                 3.741657386773893
1                                                 0.4595111393230587
1                                                 2.290943883487273E-7
1                                                 0.8995377748856186
1                                                 2.0828944607975686E-7
1                                                 1.0285009620751382
1                                                 4.242123211178894E-7
1                                                 1.3639637130528968
1                                                 6.199950763896567E-8
1                                                 -2.221441481290438
1                                                 -5.1045461940679715E-8
1                                                 -2.0991250246353337
1                                                 -8.623847763677972E-8
1                                                 -1.8415328005919016
1                                                 -7.763334626542662E-8
1                                                 -1.6516325437874273
1                                                 4.815074761133076E-8
1                                                 -1.5707963791411739
1                                                 1.7775747877812886E-7
1                                                 1.5707963791411739
1                                                 1.7775747877812886E-7
1                                                 1.6516325437874273
1                                                 4.815074761133076E-8
1                                                 1.8415328005919016
1                                                 -7.763334626542662E-8
1                                                 2.0991250246353337
1                                                 -8.623847763677972E-8
1                                                 2.221441481290438
1                                                 -5.1045461940679715E-8
