% Model:              ID1_1_P5_D_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 17:42
% Table:              EV_Stat_Vac - EV_Stat_Vacuum (lambda, abs(lambda))
% n                                               lambda
1                                                 -2.6922270865144906
1                                                 0.24512196187449592
1                                                 -2.556865116165179
1                                                 -0.013560232025021143
1                                                 -2.274987607445632
1                                                 0.5069757201823932
1                                                 -1.9119398982807276
1                                                 1.5355430060938584
1                                                 -1.593094113633641
1                                                 2.589969959771988
1                                                 1.593094113633641
1                                                 2.589969959771988
1                                                 1.9119398982807276
1                                                 1.5355430060938584
1                                                 2.274987607445632
1                                                 0.5069757201823932
1                                                 2.556865116165179
1                                                 -0.013560232025021143
1                                                 2.6922270865144906
1                                                 0.24512196187449592
1                                                 -3.612986105722917
1                                                 0.47855921232986975
1                                                 -3.5124073655220904
1                                                 0.4084886163204602
1                                                 -3.397263136270276
1                                                 0.4186654507380986
1                                                 -3.255301950351797
1                                                 0.27312807049118115
1                                                 -3.034682719657921
1                                                 0.6996497642386479
1                                                 3.034682719657921
1                                                 0.6996497642386479
1                                                 3.255301950351797
1                                                 0.27312807049118115
1                                                 3.397263136270276
1                                                 0.4186654507380986
1                                                 3.5124073655220904
1                                                 0.4084886163204602
1                                                 3.612986105722917
1                                                 0.47855921232986975
