% Model:              ID1_2_P5_N_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 19:59
% Table:              EV_Stat_Vac - EV_Stat_Vac (lambda, abs(lambda))
% n                                               lambda
1                                                 -1.363963680103206
1                                                 -1.6184229059690303E-7
1                                                 -1.028500870447322
1                                                 1.482675617281437E-7
1                                                 -0.899537679427019
1                                                 -4.1384229226837377E-7
1                                                 -0.45951113744036565
1                                                 -2.636809814937635E-7
1                                                 -2.8855680054749964E-4i
1                                                 3.7416573867738956
1                                                 2.8855680054749964E-4i
1                                                 3.7416573867738956
1                                                 0.45951113744036565
1                                                 -2.636809814937635E-7
1                                                 0.899537679427019
1                                                 -4.1384229226837377E-7
1                                                 1.028500870447322
1                                                 1.482675617281437E-7
1                                                 1.363963680103206
1                                                 -1.6184229059690303E-7
1                                                 -2.221441464710636
1                                                 -3.0480332244287034E-8
1                                                 -2.0991249711630817
1                                                 6.854677012113619E-8
1                                                 -1.8415327651480653
1                                                 9.458495195402428E-8
1                                                 -1.6516325234023996
1                                                 -9.127010076881437E-8
1                                                 -1.5707963253984836
1                                                 -2.8982869632043773E-8
1                                                 1.5707963253984836
1                                                 -2.8982869632043773E-8
1                                                 1.6516325234023996
1                                                 -9.127010076881437E-8
1                                                 1.8415327651480653
1                                                 9.458495195402428E-8
1                                                 2.0991249711630817
1                                                 6.854677012113619E-8
1                                                 2.221441464710636
1                                                 -3.0480332244287034E-8
