% Model:              ID1_1_P5_D_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 17:42
% Table:              EV_Stat_Dia - EV_Stat_Diamond (lambda, abs(lambda))
% n                                               lambda
2.42                                              -1.1124905316165221
2.42                                              0.5931951477367583
2.42                                              -1.0565558331250395
2.42                                              -0.03281576150012505
2.42                                              -0.9400775237366604
2.42                                              1.2268812428413827
2.42                                              -0.7900578092054981
2.42                                              3.7160140747472385
2.42                                              -0.6583033527394705
2.42                                              6.26772730264834
2.42                                              0.6583033527394705
2.42                                              6.26772730264834
2.42                                              0.7900578092054981
2.42                                              3.7160140747472385
2.42                                              0.9400775237366604
2.42                                              1.2268812428413827
2.42                                              1.0565558331250395
2.42                                              -0.03281576150012505
2.42                                              1.1124905316165221
2.42                                              0.5931951477367583
2.42                                              -1.4929694651739802
2.42                                              1.1581132938385337
2.42                                              -1.4514080022810434
2.42                                              0.9885424514957546
2.42                                              -1.4038277422596068
2.42                                              1.0131703907867824
2.42                                              -1.3451660951858448
2.42                                              0.6609699305888312
2.42                                              -1.254001123824632
2.42                                              1.6931524294567795
2.42                                              1.254001123824632
2.42                                              1.6931524294567795
2.42                                              1.3451660951858448
2.42                                              0.6609699305888312
2.42                                              1.4038277422596068
2.42                                              1.0131703907867824
2.42                                              1.4514080022810434
2.42                                              0.9885424514957546
2.42                                              1.4929694651739802
2.42                                              1.1581132938385337
