% Model:              ID1_2_P5_D_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 20:23
% Table:              EV_Stat_Dia - EV_Stat_Dia (lambda, abs(lambda))
% n                                               lambda
2.42                                              -1.112490500597009
2.42                                              0.6070800503695015
2.42                                              -1.0565558425963593
2.42                                              0.3100561594548553
2.42                                              -0.9400775493626612
2.42                                              3.0360014802645656
2.42                                              -0.790057841601172
2.42                                              1.813324148717642
2.42                                              -0.6583033157403058
2.42                                              6.596438166593499
2.42                                              0.6583033157403058
2.42                                              6.596438166593499
2.42                                              0.790057841601172
2.42                                              1.813324148717642
2.42                                              0.9400775493626612
2.42                                              3.0360014802645656
2.42                                              1.0565558425963593
2.42                                              0.3100561594548553
2.42                                              1.112490500597009
2.42                                              0.6070800503695015
2.42                                              -1.4929694106287237
2.42                                              0.35347157743865165
2.42                                              -1.4514080022810694
2.42                                              0.9885424514950392
2.42                                              -1.4038277470891576
2.42                                              1.4702978966825135
2.42                                              -1.3451661038313025
2.42                                              0.4945319737823177
2.42                                              -1.254001105273488
2.42                                              1.17471418583325
2.42                                              1.254001105273488
2.42                                              1.17471418583325
2.42                                              1.3451661038313025
2.42                                              0.4945319737823177
2.42                                              1.4038277470891576
2.42                                              1.4702978966825135
2.42                                              1.4514080022810694
2.42                                              0.9885424514950392
2.42                                              1.4929694106287237
2.42                                              0.35347157743865165
