% Model:              ID1_1_P5_N_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 19:15
% Table:              EV_Stat_Dia - EV_Stat_Dia (lambda, abs(lambda))
% n                                               lambda
2.42                                              -0.5636213655824781
2.42                                              -1.5005228393150105E-7
2.42                                              -0.42500032838896684
2.42                                              -1.0266935129288335E-6
2.42                                              -0.3717098131745545
2.42                                              -5.041117811521723E-7
2.42                                              -0.18988063427877436
2.42                                              -5.544710983684809E-7
2.42                                              -1.1945620972169788E-4i
2.42                                              9.054810875992821
2.42                                              1.1945620972169788E-4i
2.42                                              9.054810875992821
2.42                                              0.18988063427877436
2.42                                              -5.544710983684809E-7
2.42                                              0.3717098131745545
2.42                                              -5.041117811521723E-7
2.42                                              0.42500032838896684
2.42                                              -1.0266935129288335E-6
2.42                                              0.5636213655824781
2.42                                              -1.5005228393150105E-7
2.42                                              -0.9179510152355188
2.42                                              1.2353946043930364E-7
2.42                                              -0.86740701067277
2.42                                              2.0871689920820558E-7
2.42                                              -0.7609639538895777
2.42                                              1.8789060340917985E-7
2.42                                              -0.6824927829972542
2.42                                              -1.1653538534162067E-7
2.42                                              -0.6490893696064695
2.42                                              -4.30213431268367E-7
2.42                                              0.6490893696064695
2.42                                              -4.30213431268367E-7
2.42                                              0.6824927829972542
2.42                                              -1.1653538534162067E-7
2.42                                              0.7609639538895777
2.42                                              1.8789060340917985E-7
2.42                                              0.86740701067277
2.42                                              2.0871689920820558E-7
2.42                                              0.9179510152355188
2.42                                              1.2353946043930364E-7
