% Model:              ID1_2_P5_D_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 20:23
% Table:              EV_Stat_Vac - EV_Stat_Vac (lambda, abs(lambda))
% n                                               lambda
1                                                 -2.692227011444743
1                                                 0.250859524945951
1                                                 -2.556865139083118
1                                                 0.12812237993975784
1                                                 -2.274987669457564
1                                                 1.254546066225028
1                                                 -1.9119399766748302
1                                                 0.7493074994702122
1                                                 -1.5930940240915359
1                                                 2.7258008952865795
1                                                 1.5930940240915359
1                                                 2.7258008952865795
1                                                 1.9119399766748302
1                                                 0.7493074994702122
1                                                 2.274987669457564
1                                                 1.254546066225028
1                                                 2.556865139083118
1                                                 0.12812237993975784
1                                                 2.692227011444743
1                                                 0.250859524945951
1                                                 -3.612985973721512
1                                                 0.1460626353052506
1                                                 -3.5124073655201564
1                                                 0.4084886163203112
1                                                 -3.397263147955744
1                                                 0.6075611143315316
1                                                 -3.255301971271744
1                                                 0.20435205528198422
1                                                 -3.0346826747618216
1                                                 0.4854190850549602
1                                                 3.0346826747618216
1                                                 0.4854190850549602
1                                                 3.255301971271744
1                                                 0.20435205528198422
1                                                 3.397263147955744
1                                                 0.6075611143315316
1                                                 3.5124073655201564
1                                                 0.4084886163203112
1                                                 3.612985973721512
1                                                 0.1460626353052506
