% Model:              ID2_2_P5_GPM_N_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 15:31
% Table:              EV_Stat_Dia - EV_Stat_Dia (lambda, abs(lambda))
% n                                               lambda
2.42                                              -0.32407753903000813
2.42                                              -5.261346913698617E-13
2.42                                              -0.2358224705718043
2.42                                              1.6131540547803525E-12
2.42                                              -0.17037223052479353
2.42                                              -2.4766855233337992E-12
2.42                                              -0.09440594046509125
2.42                                              2.1148416351479682E-11
2.42                                              -5.064381563137289E-7i
2.42                                              10.123586321062307
2.42                                              5.064381563137289E-7i
2.42                                              10.123586321062307
2.42                                              0.09440594046509125
2.42                                              2.1148416351479682E-11
2.42                                              0.17037223052479353
2.42                                              -2.4766855233337992E-12
2.42                                              0.2358224705718043
2.42                                              1.6131540547803525E-12
2.42                                              0.32407753903000813
2.42                                              -5.261346913698617E-13
2.42                                              -0.5442527686902019
2.42                                              4.919953333626381E-13
2.42                                              -0.5046024611719065
2.42                                              6.417089082333405E-13
2.42                                              -0.47371643275535574
2.42                                              -1.0979828157786642E-12
2.42                                              -0.47363073177677023
2.42                                              -8.643641358219156E-13
2.42                                              -0.4735602390973081
2.42                                              1.154909501366319E-12
2.42                                              0.4735602390973081
2.42                                              1.154909501366319E-12
2.42                                              0.47363073177677023
2.42                                              -8.643641358219156E-13
2.42                                              0.47371643275535574
2.42                                              -1.0979828157786642E-12
2.42                                              0.5046024611719065
2.42                                              6.417089082333405E-13
2.42                                              0.5442527686902019
2.42                                              4.919953333626381E-13
