% Model:              ID2_2_P5_GPM_D_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 13:47
% Table:              EV_Stat_Vac - EV_Stat_Vacuum (lambda, abs(lambda))
% n                                               lambda
1                                                 -3.344057099742981
1                                                 1.4462608937830677
1                                                 -3.3262541366039295
1                                                 0.15582305424328635
1                                                 -3.2967129710648604
1                                                 0.3725450850033509
1                                                 -2.5692311176072202
1                                                 1.688065553518402
1                                                 -2.5573501167675983
1                                                 1.8145105377871953
1                                                 2.5573501167675983
1                                                 1.8145105377871953
1                                                 2.5692311176072202
1                                                 1.688065553518402
1                                                 3.2967129710648604
1                                                 0.3725450850033509
1                                                 3.3262541366039295
1                                                 0.15582305424328635
1                                                 3.344057099742981
1                                                 1.4462608937830677
1                                                 -3.7370896650969714
1                                                 0.8122414781244267
1                                                 -3.6890337298919964
1                                                 0.3673045182305067
1                                                 -3.6890317070682093
1                                                 0.38856258634351093
1                                                 -3.6890294583253174
1                                                 0.764507523009196
1                                                 -3.4042729192070458
1                                                 1.4955068423795252
1                                                 3.4042729192070458
1                                                 1.4955068423795252
1                                                 3.6890294583253174
1                                                 0.764507523009196
1                                                 3.6890317070682093
1                                                 0.38856258634351093
1                                                 3.6890337298919964
1                                                 0.3673045182305067
1                                                 3.7370896650969714
1                                                 0.8122414781244267
