% Model:              ID2_2_P5_GPM_N_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 15:31
% Table:              EV_Stat_Vac - EV_Stat_Vac (lambda, abs(lambda))
% n                                               lambda
1                                                 -0.784267644457315
1                                                 -2.5439650386260837E-12
1                                                 -0.5706903787902771
1                                                 -1.3117840147458537E-12
1                                                 -0.41230079787953294
1                                                 -1.3186118863472984E-12
1                                                 -0.22846237594167768
1                                                 -1.9668711104259273E-12
1                                                 -2.431902924003476E-6
1                                                 4.183300132670374
1                                                 2.431902924003476E-6
1                                                 4.183300132670374
1                                                 0.22846237594167768
1                                                 -1.9668711104259273E-12
1                                                 0.41230079787953294
1                                                 -1.3186118863472984E-12
1                                                 0.5706903787902771
1                                                 -1.3117840147458537E-12
1                                                 0.784267644457315
1                                                 -2.5439650386260837E-12
1                                                 -1.3170917002331546
1                                                 1.272870697732742E-13
1                                                 -1.2211379560392157
1                                                 2.1088686352754848E-13
1                                                 -1.1463937672713456
1                                                 -1.1549650125175503E-12
1                                                 -1.146186370903069
1                                                 -2.0383694732117874E-13
1                                                 -1.1460157786188898
1                                                 6.271511088229431E-13
1                                                 1.1460157786188898
1                                                 6.271511088229431E-13
1                                                 1.146186370903069
1                                                 -2.0383694732117874E-13
1                                                 1.1463937672713456
1                                                 -1.1549650125175503E-12
1                                                 1.2211379560392157
1                                                 2.1088686352754848E-13
1                                                 1.3170917002331546
1                                                 1.272870697732742E-13
