% Model:              ID2_1_P5_GPM_D_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 12:54
% Table:              EV_Static_Vacuum - EV_Static_Vacuum (lambda, abs(lambda))
% n                                               lambda
1                                                 -3.344056899291131
1                                                 1.2230986388154412
1                                                 -3.3262537967693433
1                                                 0.6306699457045759
1                                                 -3.2967124308444373
1                                                 1.3637157659786585
1                                                 -2.5692299337410636
1                                                 0.0053460029077443405
1                                                 -2.5573494185336876
1                                                 2.450588544353139
1                                                 2.5573494185336876
1                                                 2.450588544353139
1                                                 2.5692299337410636
1                                                 0.0053460029077443405
1                                                 3.2967124308444373
1                                                 1.3637157659786585
1                                                 3.3262537967693433
1                                                 0.6306699457045759
1                                                 3.344056899291131
1                                                 1.2230986388154412
1                                                 -3.737088297293529
1                                                 0.7638972890165937
1                                                 -3.689032634258408
1                                                 0.5374941709432667
1                                                 -3.689030400041597
1                                                 0.5472423023467642
1                                                 -3.6890290810758395
1                                                 0.5310175485389159
1                                                 -3.404272751166775
1                                                 0.8170780406181585
1                                                 3.404272751166775
1                                                 0.8170780406181585
1                                                 3.6890290810758395
1                                                 0.5310175485389159
1                                                 3.689030400041597
1                                                 0.5472423023467642
1                                                 3.689032634258408
1                                                 0.5374941709432667
1                                                 3.737088297293529
1                                                 0.7638972890165937
