% Model:              ID2_2_P5_GPM_D_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 13:47
% Table:              EV_Stat_Dia - EV_Stat_Diamond (lambda, abs(lambda))
% n                                               lambda
2.42                                              -1.3818417767532971
2.42                                              3.499951362954949
2.42                                              -1.3744851804148464
2.42                                              0.37709179126866926
2.42                                              -1.362278087216885
2.42                                              0.901559105708077
2.42                                              -1.0616657510773637
2.42                                              4.085118639514613
2.42                                              -1.056756246598181
2.42                                              4.391115501444936
2.42                                              1.056756246598181
2.42                                              4.391115501444936
2.42                                              1.0616657510773637
2.42                                              4.085118639514613
2.42                                              1.362278087216885
2.42                                              0.901559105708077
2.42                                              1.3744851804148464
2.42                                              0.37709179126866926
2.42                                              1.3818417767532971
2.42                                              3.499951362954949
2.42                                              -1.5442519277260216
2.42                                              1.9656243770611295
2.42                                              -1.5243941032611554
2.42                                              0.8888769346196764
2.42                                              -1.5243932673835574
2.42                                              0.940321460336084
2.42                                              -1.5243923381509565
2.42                                              1.8501082047373334
2.42                                              -1.4067243467797699
2.42                                              3.619126558558535
2.42                                              1.4067243467797699
2.42                                              3.619126558558535
2.42                                              1.5243923381509565
2.42                                              1.8501082047373334
2.42                                              1.5243932673835574
2.42                                              0.940321460336084
2.42                                              1.5243941032611554
2.42                                              0.8888769346196764
2.42                                              1.5442519277260216
2.42                                              1.9656243770611295
