% Model:              ID2_1_P5_GPM_N_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 15:10
% Table:              EV_Stat_Vac - EV_Stat_Vac (lambda, abs(lambda))
% n                                               lambda
1                                                 -0.7842675585161623
1                                                 -2.2486179585001764E-12
1                                                 -0.5706903173525377
1                                                 -2.479100258412359E-12
1                                                 -0.4123007564307514
1                                                 -4.920841512046081E-12
1                                                 -0.2284623554800334
1                                                 -9.602318939982979E-13
1                                                 -2.401911418780437E-6
1                                                 4.183300132670375
1                                                 2.401911418780437E-6
1                                                 4.183300132670375
1                                                 0.2284623554800334
1                                                 -9.602318939982979E-13
1                                                 0.4123007564307514
1                                                 -4.920841512046081E-12
1                                                 0.5706903173525377
1                                                 -2.479100258412359E-12
1                                                 0.7842675585161623
1                                                 -2.2486179585001764E-12
1                                                 -1.317091559934436
1                                                 -9.39803790345195E-14
1                                                 -1.2211378610806098
1                                                 -8.469891454865319E-13
1                                                 -1.1463937494557621
1                                                 3.3986702341337605E-13
1                                                 -1.1461861056293574
1                                                 -2.607081217576024E-13
1                                                 -1.1460156858795087
1                                                 -8.659739592076221E-14
1                                                 1.1460156858795087
1                                                 -8.659739592076221E-14
1                                                 1.1461861056293574
1                                                 -2.607081217576024E-13
1                                                 1.1463937494557621
1                                                 3.3986702341337605E-13
1                                                 1.2211378610806098
1                                                 -8.469891454865319E-13
1                                                 1.317091559934436
1                                                 -9.39803790345195E-14
