% Model:              Testfile_Circle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:30
% Table:              Stat_N - EV_Stat_N (lambda, abs(lambda))
% Eigenwert                                       Eigenwert                                         abs(lambda)
-3.054236928225653                                -3.054236928225653                                3.054236928225653
1.9000079287678773E-13                            -3.0542369282257766                               3.0542369282257766
-3.0542369282257766                               -1.8411837813380254                               1.8411837813380254
2.723515857283587E-14                             -1.841183781338446                                1.841183781338446
-1.8411837813380254                               -2.977684700067699E-6i                            2.977684700067699E-6
-8.113388433317326E-14                            2.977684700067699E-6i                             2.977684700067699E-6
-1.841183781338446                                1.8411837813380254                                1.8411837813380254
-1.9056978217690812E-13                           1.841183781338446                                 1.841183781338446
-2.977684700067699E-6i                            3.054236928225653                                 3.054236928225653
1.7724538509055145                                3.0542369282257766                                3.0542369282257766
2.977684700067699E-6i                             -5.317553126083168                                5.317553126083168
1.7724538509055145                                -5.317553126083262                                5.317553126083262
1.8411837813380254                                -4.201188941209307                                4.201188941209307
-8.113388433317326E-14                            -4.201188941209731                                4.201188941209731
1.841183781338446                                 -3.8317059702065768                               3.8317059702065768
-1.9056978217690812E-13                           3.8317059702065768                                3.8317059702065768
3.054236928225653                                 4.201188941209307                                 4.201188941209307
1.9000079287678773E-13                            4.201188941209731                                 4.201188941209731
3.0542369282257766                                5.317553126083168                                 5.317553126083168
2.723515857283587E-14                             5.317553126083262                                 5.317553126083262
