% Model:              Testfile_Circle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:30
% Table:              Stat_D - EV_Stat_D (lambda, abs(lambda))
% Eigenwert              Eigenwert                abs(lambda)
-5.135622301839682       -5.135622301839682       5.135622301839682
-1.044442310416116E-13   -5.135622301839769       5.135622301839769
-5.135622301839769       -3.8317059702061265      3.8317059702061265
1.2405354521405343E-13   -3.8317059702063374      3.8317059702063374
-3.8317059702061265      -2.404825557693941       2.404825557693941
1.5404344466674047E-14   2.404825557693941        2.404825557693941
-3.8317059702063374      3.8317059702061265       3.8317059702061265
-3.608224830031759E-15   3.8317059702063374       3.8317059702063374
-2.404825557693941       5.135622301839682        5.135622301839682
1.4740810161747113       5.135622301839769        5.135622301839769
2.404825557693941        -7.01558666981493        7.01558666981493
1.4740810161747113       -7.015586669815011       7.015586669815011
3.8317059702061265       -6.380161895923103       6.380161895923103
1.5404344466674047E-14   -6.3801618959233375      6.3801618959233375
3.8317059702063374       -5.520078110285624       5.520078110285624
-3.608224830031759E-15   5.520078110285624        5.520078110285624
5.135622301839682        6.380161895923103        6.380161895923103
-1.044442310416116E-13   6.3801618959233375       6.3801618959233375
5.135622301839769        7.01558666981493         7.01558666981493
1.2405354521405343E-13   7.015586669815011        7.015586669815011
