0	40
10	40
20	40
30	40
40	40
0	30
10	30
20	30
30	30
40	30
0	20
10	20
20	20
30	20
40	20
0	10
10	10
20	10
30	10
40	10
0	0
10	0
20	0
30	0
40	0
0	35
5	30
5	35
10	35
5	40
15	30
15	35
20	35
15	40
25	30
25	35
30	35
25	40
35	30
35	35
40	35
35	40
0	25
5	20
5	25
10	25
15	20
15	25
20	25
25	20
25	25
30	25
35	20
35	25
40	25
0	15
5	10
5	15
10	15
15	10
15	15
20	15
25	10
25	15
30	15
35	10
35	15
40	15
0	5
5	0
5	5
10	5
15	0
15	5
20	5
25	0
25	5
30	5
35	0
35	5
40	5
2.5	32.5
5	32.5
2.5	35
7.5	35
7.5	37.5
5	37.5
12.5	32.5
15	32.5
12.5	35
17.5	35
17.5	37.5
15	37.5
22.5	32.5
25	32.5
22.5	35
27.5	35
27.5	37.5
25	37.5
32.5	32.5
35	32.5
32.5	35
37.5	35
37.5	37.5
35	37.5
2.5	22.5
5	22.5
2.5	25
7.5	25
7.5	27.5
5	27.5
12.5	22.5
15	22.5
12.5	25
17.5	25
17.5	27.5
15	27.5
22.5	22.5
25	22.5
22.5	25
27.5	25
27.5	27.5
25	27.5
32.5	22.5
35	22.5
32.5	25
37.5	25
37.5	27.5
35	27.5
2.5	12.5
5	12.5
2.5	15
7.5	15
7.5	17.5
5	17.5
12.5	12.5
15	12.5
12.5	15
17.5	15
17.5	17.5
15	17.5
22.5	12.5
25	12.5
22.5	15
27.5	15
27.5	17.5
25	17.5
32.5	12.5
35	12.5
32.5	15
37.5	15
37.5	17.5
35	17.5
2.5	2.5
5	2.5
2.5	5
7.5	5
7.5	7.5
5	7.5
12.5	2.5
15	2.5
12.5	5
17.5	5
17.5	7.5
15	7.5
22.5	2.5
25	2.5
22.5	5
27.5	5
27.5	7.5
25	7.5
32.5	2.5
35	2.5
32.5	5
37.5	5
37.5	7.5
35	7.5
0	37.5
2.5	37.5
0	32.5
2.5	30
7.5	30
7.5	32.5
2.5	40
10	32.5
10	37.5
7.5	40
12.5	37.5
12.5	30
17.5	30
17.5	32.5
12.5	40
20	32.5
20	37.5
17.5	40
22.5	37.5
22.5	30
27.5	30
27.5	32.5
22.5	40
30	32.5
30	37.5
27.5	40
32.5	37.5
32.5	30
37.5	30
37.5	32.5
32.5	40
40	32.5
40	37.5
37.5	40
0	27.5
2.5	27.5
0	22.5
2.5	20
7.5	20
7.5	22.5
10	22.5
10	27.5
12.5	27.5
12.5	20
17.5	20
17.5	22.5
20	22.5
20	27.5
22.5	27.5
22.5	20
27.5	20
27.5	22.5
30	22.5
30	27.5
32.5	27.5
32.5	20
37.5	20
37.5	22.5
40	22.5
40	27.5
0	17.5
2.5	17.5
0	12.5
2.5	10
7.5	10
7.5	12.5
10	12.5
10	17.5
12.5	17.5
12.5	10
17.5	10
17.5	12.5
20	12.5
20	17.5
22.5	17.5
22.5	10
27.5	10
27.5	12.5
30	12.5
30	17.5
32.5	17.5
32.5	10
37.5	10
37.5	12.5
40	12.5
40	17.5
0	7.5
2.5	7.5
0	2.5
2.5	0
7.5	0
7.5	2.5
10	2.5
10	7.5
12.5	7.5
12.5	0
17.5	0
17.5	2.5
20	2.5
20	7.5
22.5	7.5
22.5	0
27.5	0
27.5	2.5
30	2.5
30	7.5
32.5	7.5
32.5	0
37.5	0
37.5	2.5
40	2.5
40	7.5
3.75	32.5
3.75	33.75
2.5	33.75
7.5	36.25
6.25	37.5
6.25	36.25
13.75	32.5
13.75	33.75
12.5	33.75
17.5	36.25
16.25	37.5
16.25	36.25
23.75	32.5
23.75	33.75
22.5	33.75
27.5	36.25
26.25	37.5
26.25	36.25
33.75	32.5
33.75	33.75
32.5	33.75
37.5	36.25
36.25	37.5
36.25	36.25
3.75	22.5
3.75	23.75
2.5	23.75
7.5	26.25
6.25	27.5
6.25	26.25
13.75	22.5
13.75	23.75
12.5	23.75
17.5	26.25
16.25	27.5
16.25	26.25
23.75	22.5
23.75	23.75
22.5	23.75
27.5	26.25
26.25	27.5
26.25	26.25
33.75	22.5
33.75	23.75
32.5	23.75
37.5	26.25
36.25	27.5
36.25	26.25
3.75	12.5
3.75	13.75
2.5	13.75
7.5	16.25
6.25	17.5
6.25	16.25
13.75	12.5
13.75	13.75
12.5	13.75
17.5	16.25
16.25	17.5
