19	20	64
20	21	64
22	23	64
21	22	64
18	19	64
17	18	64
15	16	64
16	17	64
27	28	64
28	29	64
30	0	64
29	30	64
10	11	64
9	10	64
7	8	64
8	9	64
26	27	64
25	26	64
23	24	64
24	25	64
11	12	64
12	13	64
14	15	64
13	14	64
0	1	64
3	4	64
4	5	64
6	7	64
5	6	64
2	3	64
1	2	64
52	20	19
51	52	19
20	52	21
52	53	21
22	54	23
23	54	55
53	54	21
54	22	21
26	58	59
26	59	27
58	26	57
26	25	57
24	23	55
56	24	55
25	24	57
24	56	57
50	51	19
18	50	19
50	18	17
49	50	17
48	16	15
48	15	47
48	49	17
16	48	17
44	12	43
43	12	11
12	44	45
13	12	45
15	14	47
14	46	47
14	13	45
46	14	45
59	60	27
60	28	27
28	60	29
60	61	29
30	62	0
0	62	32
61	62	29
62	30	29
1	0	32
33	1	32
42	43	11
10	42	11
42	10	9
41	42	9
40	8	7
40	7	39
40	41	9
8	40	9
36	4	35
35	4	3
4	36	37
5	4	37
7	6	39
6	38	39
6	5	37
38	6	37
2	35	3
2	34	35
2	1	33
34	2	33
