0	865
5	933
10	985
15	1037
20	1043
21	1055
22	1067
23	1079
24	1085
19	1033
14	981
9	927
4	931
3	915
2	899
1	883
25	869
42	937
55	989
68	1041
69	1045
72	1057
75	1069
78	1081
80	1087
67	1035
54	983
40	929
41	926
37	910
33	894
29	878
177	867
211	935
237	987
263	1039
266	1044
272	1056
278	1068
284	1080
287	1086
261	1034
235	982
208	928
210	932
202	916
194	900
186	884
179	870
213	938
239	990
265	1042
267	1046
273	1058
279	1070
285	1082
288	1088
262	1036
236	984
209	930
207	925
199	909
191	893
183	877
865	177
933	211
985	237
1037	263
1043	266
1055	272
1067	278
1079	284
1085	287
1033	261
981	235
927	208
931	210
915	202
899	194
883	186
869	179
937	213
989	239
1041	265
1045	267
1057	273
1069	279
1081	285
1087	288
1035	262
983	236
929	209
926	207
910	199
894	191
878	183
867	25
935	42
987	55
1039	68
1044	69
1056	72
1068	75
1080	78
1086	80
1034	67
982	54
928	40
932	41
916	37
900	33
884	29
870	5
938	10
990	15
1042	20
1046	21
1058	22
1070	23
1082	24
1088	19
1036	14
984	9
930	4
925	3
909	2
893	1
877	0
